Date,ES_95,ES_99
2011-10-25,-15153.044258808623,-22374.018162189623
2011-10-26,-15153.044258808623,-22374.018162189623
2011-10-27,-15153.044258808623,-22374.018162189623
2011-10-28,-15153.044258808623,-22374.018162189623
2011-10-31,-15153.044258808623,-22374.018162189623
2011-11-01,-15153.044258808623,-22374.018162189623
2011-11-02,-15153.044258808623,-22374.018162189623
2011-11-03,-15153.044258808623,-22374.018162189623
2011-11-04,-15153.044258808623,-22374.018162189623
2011-11-07,-15153.044258808623,-22374.018162189623
2011-11-08,-14939.744712776745,-22374.018162189623
2011-11-09,-15645.14639078504,-22423.642992275083
2011-11-10,-15645.14639078504,-22423.642992275083
2011-11-11,-15386.830834196728,-22423.642992275083
2011-11-14,-15386.830834196728,-22423.642992275083
2011-11-15,-15386.830834196728,-22423.642992275083
2011-11-16,-15386.830834196728,-22423.642992275083
2011-11-17,-15539.27906691143,-22423.642992275083
2011-11-18,-15539.27906691143,-22423.642992275083
2011-11-21,-15829.09303295912,-22423.642992275083
2011-11-22,-15829.09303295912,-22423.642992275083
2011-11-23,-15921.64896440592,-22423.642992275083
2011-11-25,-15921.64896440592,-22423.642992275083
2011-11-28,-15921.64896440592,-22423.642992275083
2011-11-29,-15921.64896440592,-22423.642992275083
2011-11-30,-15921.64896440592,-22423.642992275083
2011-12-01,-15921.64896440592,-22423.642992275083
2011-12-02,-15921.64896440592,-22423.642992275083
2011-12-05,-15921.64896440592,-22423.642992275083
2011-12-06,-15921.64896440592,-22423.642992275083
2011-12-07,-15921.64896440592,-22423.642992275083
2011-12-08,-16066.211518379947,-22423.642992275083
2011-12-09,-16066.211518379947,-22423.642992275083
2011-12-12,-16066.211518379947,-22423.642992275083
2011-12-13,-16066.211518379947,-22423.642992275083
2011-12-14,-16066.211518379947,-22423.642992275083
2011-12-15,-16066.211518379947,-22423.642992275083
2011-12-16,-16066.211518379947,-22423.642992275083
2011-12-19,-16066.211518379947,-22423.642992275083
2011-12-20,-16066.211518379947,-22423.642992275083
2011-12-21,-16066.211518379947,-22423.642992275083
2011-12-22,-16066.211518379947,-22423.642992275083
2011-12-23,-16066.211518379947,-22423.642992275083
2011-12-27,-16066.211518379947,-22423.642992275083
2011-12-28,-16066.211518379947,-22423.642992275083
2011-12-29,-16066.211518379947,-22423.642992275083
2011-12-30,-16066.211518379947,-22423.642992275083
2012-01-03,-16066.211518379947,-22423.642992275083
2012-01-04,-16066.211518379947,-22423.642992275083
2012-01-05,-16066.211518379947,-22423.642992275083
2012-01-06,-16066.211518379947,-22423.642992275083
2012-01-09,-16066.211518379947,-22423.642992275083
2012-01-10,-16066.211518379947,-22423.642992275083
2012-01-11,-16066.211518379947,-22423.642992275083
2012-01-12,-16066.211518379947,-22423.642992275083
2012-01-13,-16066.211518379947,-22423.642992275083
2012-01-17,-16066.211518379947,-22423.642992275083
2012-01-18,-16066.211518379947,-22423.642992275083
2012-01-19,-16066.211518379947,-22423.642992275083
2012-01-20,-16066.211518379947,-22423.642992275083
2012-01-23,-16066.211518379947,-22423.642992275083
2012-01-24,-16066.211518379947,-22423.642992275083
2012-01-25,-16066.211518379947,-22423.642992275083
2012-01-26,-16066.211518379947,-22423.642992275083
2012-01-27,-16066.211518379947,-22423.642992275083
2012-01-30,-16066.211518379947,-22423.642992275083
2012-01-31,-16066.211518379947,-22423.642992275083
2012-02-01,-16066.211518379947,-22423.642992275083
2012-02-02,-16066.211518379947,-22423.642992275083
2012-02-03,-16066.211518379947,-22423.642992275083
2012-02-06,-16066.211518379947,-22423.642992275083
2012-02-07,-16066.211518379947,-22423.642992275083
2012-02-08,-16066.211518379947,-22423.642992275083
2012-02-09,-16066.211518379947,-22423.642992275083
2012-02-10,-16066.211518379947,-22423.642992275083
2012-02-13,-16066.211518379947,-22423.642992275083
2012-02-14,-16066.211518379947,-22423.642992275083
2012-02-15,-16066.211518379947,-22423.642992275083
2012-02-16,-16066.211518379947,-22423.642992275083
2012-02-17,-16066.211518379947,-22423.642992275083
2012-02-21,-16066.211518379947,-22423.642992275083
2012-02-22,-16066.211518379947,-22423.642992275083
2012-02-23,-16066.211518379947,-22423.642992275083
2012-02-24,-16066.211518379947,-22423.642992275083
2012-02-27,-16066.211518379947,-22423.642992275083
2012-02-28,-16066.211518379947,-22423.642992275083
2012-02-29,-16108.458565546667,-22423.642992275083
2012-03-01,-16108.458565546667,-22423.642992275083
2012-03-02,-16108.458565546667,-22423.642992275083
2012-03-05,-16108.458565546667,-22423.642992275083
2012-03-06,-16108.458565546667,-22423.642992275083
2012-03-07,-16108.458565546667,-22423.642992275083
2012-03-08,-16108.458565546667,-22423.642992275083
2012-03-09,-16108.458565546667,-22423.642992275083
2012-03-12,-16108.458565546667,-22423.642992275083
2012-03-13,-16108.458565546667,-22423.642992275083
2012-03-14,-16108.458565546667,-22423.642992275083
2012-03-15,-16108.458565546667,-22423.642992275083
2012-03-16,-16108.458565546667,-22423.642992275083
2012-03-19,-16108.458565546667,-22423.642992275083
2012-03-20,-16108.458565546667,-22423.642992275083
2012-03-21,-16108.458565546667,-22423.642992275083
2012-03-22,-16108.458565546667,-22423.642992275083
2012-03-23,-16108.458565546667,-22423.642992275083
2012-03-26,-16108.458565546667,-22423.642992275083
2012-03-27,-16108.458565546667,-22423.642992275083
2012-03-28,-16108.458565546667,-22423.642992275083
2012-03-29,-16108.458565546667,-22423.642992275083
2012-03-30,-16108.458565546667,-22423.642992275083
2012-04-02,-16108.458565546667,-22423.642992275083
2012-04-03,-16108.458565546667,-22423.642992275083
2012-04-04,-16108.458565546667,-22423.642992275083
2012-04-05,-16108.458565546667,-22423.642992275083
2012-04-09,-16108.458565546667,-22423.642992275083
2012-04-10,-16108.458565546667,-22423.642992275083
2012-04-11,-16108.458565546667,-22423.642992275083
2012-04-12,-16108.458565546667,-22423.642992275083
2012-04-13,-16108.458565546667,-22423.642992275083
2012-04-16,-16108.458565546667,-22423.642992275083
2012-04-17,-16108.458565546667,-22423.642992275083
2012-04-18,-16108.458565546667,-22423.642992275083
2012-04-19,-16108.458565546667,-22423.642992275083
2012-04-20,-16108.458565546667,-22423.642992275083
2012-04-23,-16108.458565546667,-22423.642992275083
2012-04-24,-16108.458565546667,-22423.642992275083
2012-04-25,-16108.458565546667,-22423.642992275083
2012-04-26,-16108.458565546667,-22423.642992275083
2012-04-27,-16108.458565546667,-22423.642992275083
2012-04-30,-16108.458565546667,-22423.642992275083
2012-05-01,-16108.458565546667,-22423.642992275083
2012-05-02,-16108.458565546667,-22423.642992275083
2012-05-03,-16108.458565546667,-22423.642992275083
2012-05-04,-16108.458565546667,-22423.642992275083
2012-05-07,-16108.458565546667,-22423.642992275083
2012-05-08,-16108.458565546667,-22423.642992275083
2012-05-09,-16108.458565546667,-22423.642992275083
2012-05-10,-16108.458565546667,-22423.642992275083
2012-05-11,-16108.458565546667,-22423.642992275083
2012-05-14,-16108.458565546667,-22423.642992275083
2012-05-15,-16108.458565546667,-22423.642992275083
2012-05-16,-16108.458565546667,-22423.642992275083
2012-05-17,-16108.458565546667,-22423.642992275083
2012-05-18,-16108.458565546667,-22423.642992275083
2012-05-21,-16108.458565546667,-22423.642992275083
2012-05-22,-16108.458565546667,-22423.642992275083
2012-05-23,-16108.458565546667,-22423.642992275083
2012-05-24,-16108.458565546667,-22423.642992275083
2012-05-25,-16108.458565546667,-22423.642992275083
2012-05-29,-16108.458565546667,-22423.642992275083
2012-05-30,-16108.458565546667,-22423.642992275083
2012-05-31,-16108.458565546667,-22423.642992275083
2012-06-01,-16108.458565546667,-22423.642992275083
2012-06-04,-16108.458565546667,-22423.642992275083
2012-06-05,-16108.458565546667,-22423.642992275083
2012-06-06,-16108.458565546667,-22423.642992275083
2012-06-07,-16108.458565546667,-22423.642992275083
2012-06-08,-16108.458565546667,-22423.642992275083
2012-06-11,-16108.458565546667,-22423.642992275083
2012-06-12,-16108.458565546667,-22423.642992275083
2012-06-13,-16108.458565546667,-22423.642992275083
2012-06-14,-16108.458565546667,-22423.642992275083
2012-06-15,-16108.458565546667,-22423.642992275083
2012-06-18,-16108.458565546667,-22423.642992275083
2012-06-19,-16108.458565546667,-22423.642992275083
2012-06-20,-16108.458565546667,-22423.642992275083
2012-06-21,-16451.140973590103,-22423.642992275083
2012-06-22,-16451.140973590103,-22423.642992275083
2012-06-25,-16451.140973590103,-22423.642992275083
2012-06-26,-16451.140973590103,-22423.642992275083
2012-06-27,-16451.140973590103,-22423.642992275083
2012-06-28,-16451.140973590103,-22423.642992275083
2012-06-29,-16451.140973590103,-22423.642992275083
2012-07-02,-16451.140973590103,-22423.642992275083
2012-07-03,-16451.140973590103,-22423.642992275083
2012-07-05,-16451.140973590103,-22423.642992275083
2012-07-06,-16451.140973590103,-22423.642992275083
2012-07-09,-16451.140973590103,-22423.642992275083
2012-07-10,-16451.140973590103,-22423.642992275083
2012-07-11,-16451.140973590103,-22423.642992275083
2012-07-12,-16451.140973590103,-22423.642992275083
2012-07-13,-16451.140973590103,-22423.642992275083
2012-07-16,-16451.140973590103,-22423.642992275083
2012-07-17,-16451.140973590103,-22423.642992275083
2012-07-18,-16451.140973590103,-22423.642992275083
2012-07-19,-16451.140973590103,-22423.642992275083
2012-07-20,-16451.140973590103,-22423.642992275083
2012-07-23,-16451.140973590103,-22423.642992275083
2012-07-24,-16451.140973590103,-22423.642992275083
2012-07-25,-16451.140973590103,-22423.642992275083
2012-07-26,-16354.62920658428,-22423.642992275083
2012-07-27,-16354.62920658428,-22423.642992275083
2012-07-30,-16354.62920658428,-22423.642992275083
2012-07-31,-16354.62920658428,-22423.642992275083
2012-08-01,-16354.62920658428,-22423.642992275083
2012-08-02,-16354.62920658428,-22423.642992275083
2012-08-03,-15637.429906373269,-21662.286124214155
2012-08-06,-15637.429906373269,-21662.286124214155
2012-08-07,-14379.72558801919,-17963.660765037625
2012-08-08,-14379.72558801919,-17963.660765037625
2012-08-09,-14035.242608233511,-17963.660765037625
2012-08-10,-14035.242608233511,-17963.660765037625
2012-08-13,-14035.242608233511,-17963.660765037625
2012-08-14,-14035.242608233511,-17963.660765037625
2012-08-15,-14035.242608233511,-17963.660765037625
2012-08-16,-14035.242608233511,-17963.660765037625
2012-08-17,-13351.547024692823,-17159.532778699268
2012-08-20,-13351.547024692823,-17159.532778699268
2012-08-21,-13351.547024692823,-17159.532778699268
2012-08-22,-13351.547024692823,-17159.532778699268
2012-08-23,-13351.547024692823,-17159.532778699268
2012-08-24,-13351.547024692823,-17159.532778699268
2012-08-27,-13351.547024692823,-17159.532778699268
2012-08-28,-13351.547024692823,-17159.532778699268
2012-08-29,-13351.547024692823,-17159.532778699268
2012-08-30,-13351.547024692823,-17159.532778699268
2012-08-31,-13351.547024692823,-17159.532778699268
2012-09-04,-13351.547024692823,-17159.532778699268
2012-09-05,-13351.547024692823,-17159.532778699268
2012-09-06,-13351.547024692823,-17159.532778699268
2012-09-07,-13351.547024692823,-17159.532778699268
2012-09-10,-12995.012558049648,-17159.532778699268
2012-09-11,-12995.012558049648,-17159.532778699268
2012-09-12,-12995.012558049648,-17159.532778699268
2012-09-13,-12995.012558049648,-17159.532778699268
2012-09-14,-12995.012558049648,-17159.532778699268
2012-09-17,-12995.012558049648,-17159.532778699268
2012-09-18,-12995.012558049648,-17159.532778699268
2012-09-19,-12995.012558049648,-17159.532778699268
2012-09-20,-12829.313168797971,-17159.532778699268
2012-09-21,-12413.752030980444,-17159.532778699268
2012-09-24,-12367.943687167313,-17159.532778699268
2012-09-25,-12367.943687167313,-17159.532778699268
2012-09-26,-12367.943687167313,-17159.532778699268
2012-09-27,-11757.477581956977,-16203.56059285604
2012-09-28,-11757.477581956977,-16203.56059285604
2012-10-01,-11757.477581956977,-16203.56059285604
2012-10-02,-11757.477581956977,-16203.56059285604
2012-10-03,-11757.477581956977,-16203.56059285604
2012-10-04,-11757.477581956977,-16203.56059285604
2012-10-05,-11757.477581956977,-16203.56059285604
2012-10-08,-11757.477581956977,-16203.56059285604
2012-10-09,-11757.477581956977,-16203.56059285604
2012-10-10,-11757.477581956977,-16203.56059285604
2012-10-11,-11757.477581956977,-16203.56059285604
2012-10-12,-11757.477581956977,-16203.56059285604
2012-10-15,-11757.477581956977,-16203.56059285604
2012-10-16,-11757.477581956977,-16203.56059285604
2012-10-17,-11757.477581956977,-16203.56059285604
2012-10-18,-11715.696672123744,-16203.56059285604
2012-10-19,-11715.696672123744,-16203.56059285604
2012-10-22,-11715.696672123744,-16203.56059285604
2012-10-23,-11715.696672123744,-16203.56059285604
2012-10-24,-11715.696672123744,-16203.56059285604
2012-10-25,-11715.696672123744,-16203.56059285604
2012-10-26,-11715.696672123744,-16203.56059285604
2012-10-31,-11715.696672123744,-16203.56059285604
2012-11-01,-11715.696672123744,-16203.56059285604
2012-11-02,-11716.256674339635,-16203.56059285604
2012-11-05,-11716.256674339635,-16203.56059285604
2012-11-06,-11716.256674339635,-16203.56059285604
2012-11-07,-11759.86500827816,-16203.56059285604
2012-11-08,-11759.86500827816,-16203.56059285604
2012-11-09,-11759.86500827816,-16203.56059285604
