Date,return,VaR,breach
2011-06-08,-1182.607906059284,13355.223274852247,0
2011-06-09,4301.0454506734695,13355.223274852247,0
2011-06-10,-7813.758657013925,13355.223274852247,0
2011-06-13,-2279.076847873896,13355.223274852247,0
2011-06-14,4669.436835569727,13355.223274852247,0
2011-06-15,-5811.210539056692,13355.223274852247,0
2011-06-16,2302.661852972539,13355.223274852247,0
2011-06-17,1577.0502782771885,13355.223274852247,0
2011-06-20,3461.4582890093425,13355.223274852247,0
2011-06-21,7784.071797825266,13355.223274852247,0
2011-06-22,-3242.4529924538515,13355.223274852247,0
2011-06-23,-2476.608012038033,13355.223274852247,0
2011-06-24,-10181.844234561266,13355.223274852247,0
2011-06-27,1326.1177681509266,13355.223274852247,0
2011-06-28,6284.253006637331,12589.67696201412,0
2011-06-29,4412.205857050203,12589.67696201412,0
