Date,PnL
2012-04-09,2.2179027590581506
2012-04-10,-5718.544290013535
2012-04-11,1795.832936760811
2012-04-12,8257.480825081539
2012-04-13,-4879.441519816765
2012-04-16,-1121.8117581360682
2012-04-17,8475.564279524046
2012-04-18,-2185.6130988254317
2012-04-19,-3517.0351910510462
2012-04-20,1147.3058544619698
2012-04-23,-3700.3505377181405
2012-04-24,727.1078680719639
2012-04-25,7176.216332924546
2012-04-26,6983.923694030101
2012-04-27,1522.2362682654104
2012-04-30,-1698.216469261409
2012-05-01,1900.8799705584759
2012-05-02,-719.1506358249385
2012-05-03,-6177.547536664328
2012-05-04,-7348.619366567185
2012-05-07,112.96010744394654
2012-05-08,-4015.509480015344
2012-05-09,-4879.691489272649
2012-05-10,790.0860120101086
2012-05-11,-929.6320015334759
2012-05-14,-5398.641968695281
2012-05-15,-4030.100598999559
2012-05-16,-1861.744211928833
2012-05-17,-1262.944252299162
2012-05-18,-3388.7845804278913
2012-05-21,9798.35055496655
2012-05-22,-4268.216129775441
2012-05-23,1591.2624486489424
2012-05-24,16.28804241083948
2012-05-25,236.9275994550503
2012-05-29,4812.648105595004
2012-05-30,-1627.3615885117542
2012-05-31,1268.7586566157752
2012-06-01,-3726.784175597773
2012-06-04,-2435.896455785936
2012-06-05,987.9132035283113
2012-06-06,8351.944774888458
2012-06-07,-1865.134672877079
2012-06-08,4915.271420977012
2012-06-11,-5921.885867052093
2012-06-12,5617.03878239826
2012-06-13,-762.47727798339
2012-06-14,6608.729437630595
2012-06-15,7579.237308525592
2012-06-18,2588.7982289645656
2012-06-19,1755.5570159229885
2012-06-20,-881.050046472225
2012-06-21,-16138.994241191616
2012-06-22,1856.8897785315123
2012-06-25,-4988.655698588034
2012-06-26,903.9686320400323
2012-06-27,5987.541549675578
2012-06-28,-2860.207045287117
2012-06-29,15555.17240686289
2012-07-02,4274.313945389832
2012-07-03,4289.27826116236
2012-07-05,-3144.862323897527
2012-07-06,-5327.059449585905
2012-07-09,1762.605699671916
2012-07-10,-6600.152626834252
2012-07-11,1226.5634613108866
2012-07-12,-1544.109685203814
2012-07-13,10842.305340537756
2012-07-16,-189.5432472375488
2012-07-17,1411.87033472732
2012-07-18,4152.44553502866
2012-07-19,1252.1611072456128
2012-07-20,-2194.5170353021304
2012-07-23,-5325.068005582826
2012-07-24,-2733.938471501318
2012-07-25,2864.948395315569
2012-07-26,8574.40124910251
2012-07-27,6933.239910091713
2012-07-30,1756.3368951328246
2012-07-31,-4608.191946798821
2012-08-01,-3075.382083043955
2012-08-02,-3723.823124418461
2012-08-03,9091.852413195389
2012-08-06,1980.8641129936498
2012-08-07,-255.91626450670313
2012-08-08,-416.3639119779477
2012-08-09,820.6000200823445
2012-08-10,2418.209534607065
2012-08-13,-1856.1855299258505
2012-08-14,-4154.040380797446
2012-08-15,-2374.7501658867395
2012-08-16,3165.07429788682
2012-08-17,2171.6100983815445
2012-08-20,1071.328925174058
2012-08-21,778.2837155219433
2012-08-22,5952.978128757525
2012-08-23,-2629.0664722835672
2012-08-24,3448.7238227431617
2012-08-27,1019.2734310123868
2012-08-28,263.12278907981744
2012-08-29,-1606.3552733724357
2012-08-30,-3112.1055964234893
2012-08-31,9781.368271303914
2012-09-04,-566.6949037343053
2012-09-05,-1846.6099825538543
2012-09-06,8386.776273903179
2012-09-07,4361.420447808348
2012-09-10,-3842.210391821166
2012-09-11,642.708730779502
2012-09-12,-1120.0934195975033
2012-09-13,11085.77389999708
2012-09-14,-3651.485020585831
2012-09-17,-285.2519250524535
2012-09-18,1916.330520602663
2012-09-19,1980.9012832599908
2012-09-20,423.51928086213604
2012-09-21,464.9272277907105
2012-09-24,245.18465195684968
2012-09-25,-4208.031230537392
2012-09-26,-1554.4360872988507
2012-09-27,6059.124373725778
2012-09-28,-3037.0871285359685
2012-10-01,2856.1927816511898
2012-10-02,116.0626444697195
2012-10-03,2794.8976363708343
2012-10-04,2188.610557607475
2012-10-05,-4076.510516179227
2012-10-08,-456.22441911674554
2012-10-09,-7339.477235832165
2012-10-10,-2215.568470959818
